Seychelles,Aldabra,Alphonse,"Anse Aux Pins","Anse Boileau","Anse Etoile","Anse Royale",Aride,Assumption,Astove,"Au Cap","Baie Lazare","Beau Vallon","Bel Air",Belombre,Bijoutier,Bird,Cascade,"Cerf Island",Conception,Cosmoledo,Cousin,Cousine,Curieuse,Darros,Denis,Desnoeufs,Desroches,"English River",Farquhar,Felicite,Fregate,Glacis,"Grand Anse Mahe","Grande Soeur","Ile du Sud","La Digue","Les Mamelles",Marie-Louise,"Mont Buxton","Mont Fleuri","North Island","Petite Soeur",Plaisance,Platte,"Pointe Larue",Poivre,"Port Glaud",Praslin,Providence,Remire,"Roche Caiman",Silhouette,"St Louis","St. Francois","St. Joseph Atoll","St. Pierre","Ste Anne",Takamaka,Therese,Coetivy
1912,26.52,26.89,27.16,27.16,26.31,26.24,27.16,27.16,27.16,27.16,27.16,26.36,26.24,26.24,26.24,26.24,26.24,26.40,26.24,26.24,26.40,26.24,26.24,26.40,26.24,26.24,26.24,27.16,26.24,27.16,26.24,27.16,26.24,26.24,26.24,26.24,26.24,26.24,26.24,26.24,26.24,26.24,26.24,26.24,26.24,27.16,26.24,26.24,26.24,26.24,26.24,26.24,26.24,26.24,26.24,26.24,26.24,26.24,27.02,26.24,27.02
1913,26.38,26.97,27.02,27.02,26.16,26.09,27.02,27.02,27.02,27.02,27.02,26.21,26.09,26.09,26.09,26.09,26.09,26.25,26.09,26.09,26.25,26.09,26.09,26.25,26.09,26.09,26.09,27.02,26.09,27.02,26.09,27.02,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,27.02,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.88,26.09,26.88
1914,26.82,26.96,27.46,27.46,26.60,26.53,27.46,27.46,27.46,27.46,27.46,26.65,26.53,26.53,26.53,26.53,26.53,26.69,26.53,26.53,26.69,26.53,26.53,26.69,26.53,26.53,26.53,27.46,26.53,27.46,26.53,27.46,26.53,26.53,26.53,26.53,26.53,26.53,26.53,26.53,26.53,26.53,26.53,26.53,26.53,27.46,26.53,26.53,26.53,26.53,26.53,26.53,26.53,26.53,26.53,26.53,26.53,26.53,27.32,26.53,27.32
1915,26.58,26.97,27.22,27.22,26.37,26.30,27.22,27.22,27.22,27.22,27.22,26.42,26.30,26.30,26.30,26.30,26.30,26.46,26.30,26.30,26.46,26.30,26.30,26.46,26.30,26.30,26.30,27.22,26.30,27.22,26.30,27.22,26.30,26.30,26.30,26.30,26.30,26.30,26.30,26.30,26.30,26.30,26.30,26.30,26.30,27.22,26.30,26.30,26.30,26.30,26.30,26.30,26.30,26.30,26.30,26.30,26.30,26.30,27.08,26.30,27.08
1916,26.34,26.93,26.98,26.98,26.13,26.06,26.98,26.98,26.98,26.98,26.98,26.18,26.06,26.06,26.06,26.06,26.06,26.22,26.06,26.06,26.22,26.06,26.06,26.22,26.06,26.06,26.06,26.98,26.06,26.98,26.06,26.98,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.98,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.84,26.06,26.84
1917,26.21,26.93,26.85,26.85,25.99,25.92,26.85,26.85,26.85,26.85,26.85,26.04,25.92,25.92,25.92,25.92,25.92,26.08,25.92,25.92,26.08,25.92,25.92,26.08,25.92,25.92,25.92,26.85,25.92,26.85,25.92,26.85,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,26.85,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,26.71,25.92,26.71
1918,26.17,26.94,26.81,26.81,25.95,25.88,26.81,26.81,26.81,26.81,26.81,26.00,25.88,25.88,25.88,25.88,25.88,26.04,25.88,25.88,26.04,25.88,25.88,26.04,25.88,25.88,25.88,26.81,25.88,26.81,25.88,26.81,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,26.81,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,26.67,25.88,26.67
1919,26.78,26.97,27.42,27.42,26.57,26.50,27.42,27.42,27.42,27.42,27.42,26.62,26.50,26.50,26.50,26.50,26.50,26.66,26.50,26.50,26.66,26.50,26.50,26.66,26.50,26.50,26.50,27.42,26.50,27.42,26.50,27.42,26.50,26.50,26.50,26.50,26.50,26.50,26.50,26.50,26.50,26.50,26.50,26.50,26.50,27.42,26.50,26.50,26.50,26.50,26.50,26.50,26.50,26.50,26.50,26.50,26.50,26.50,27.28,26.50,27.28
1920,26.41,26.96,27.05,27.05,26.19,26.12,27.05,27.05,27.05,27.05,27.05,26.24,26.12,26.12,26.12,26.12,26.12,26.28,26.12,26.12,26.28,26.12,26.12,26.28,26.12,26.12,26.12,27.05,26.12,27.05,26.12,27.05,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,27.05,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.91,26.12,26.91
1921,26.42,26.94,27.06,27.06,26.21,26.14,27.06,27.06,27.06,27.06,27.06,26.26,26.14,26.14,26.14,26.14,26.14,26.30,26.14,26.14,26.30,26.14,26.14,26.30,26.14,26.14,26.14,27.06,26.14,27.06,26.14,27.06,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,27.06,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.92,26.14,26.92
